,Participant.Private.ID,Age,Gender,needForMoney,blockOrder,randomise_blocks,effortL,rewardL,effortChoice,effortSelfReport,gamblingChoice,happySelfReport,subjEffort1,subjEffort3,subjEffort5,subjEffort7,subjFrust1,subjFrust3,subjFrust5,subjFrust7,nfc,ami
1,2858990,18,female,6,1,5,1,4,high,10,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
2,2858990,18,female,6,2,31,5,10,high,40,safe,6,1,3,7,8,1,3,7,9,3.166666667,2.944444444
3,2858990,18,female,6,3,7,5,4,high,25,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
4,2858990,18,female,6,4,4,7,2,low,2,risky,2,1,3,7,8,1,3,7,9,3.166666667,2.944444444
5,2858990,18,female,6,5,18,3,2,low,2,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
6,2858990,18,female,6,6,25,1,6,high,7,safe,3,1,3,7,8,1,3,7,9,3.166666667,2.944444444
7,2858990,18,female,6,7,21,1,4,high,26,safe,17,1,3,7,8,1,3,7,9,3.166666667,2.944444444
8,2858990,18,female,6,8,1,1,2,high,2,safe,3,1,3,7,8,1,3,7,9,3.166666667,2.944444444
9,2858990,18,female,6,9,23,5,4,low,2,risky,2,1,3,7,8,1,3,7,9,3.166666667,2.944444444
10,2858990,18,female,6,10,8,7,4,low,2,risky,5,1,3,7,8,1,3,7,9,3.166666667,2.944444444
11,2858990,18,female,6,11,6,3,4,high,17,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
12,2858990,18,female,6,12,13,1,10,high,2,safe,5,1,3,7,8,1,3,7,9,3.166666667,2.944444444
13,2858990,18,female,6,13,17,1,2,high,0,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
14,2858990,18,female,6,14,24,7,4,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
15,2858990,18,female,6,15,16,7,10,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
16,2858990,18,female,6,16,15,5,10,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
17,2858990,18,female,6,17,26,3,6,high,16,risky,4,1,3,7,8,1,3,7,9,3.166666667,2.944444444
18,2858990,18,female,6,18,14,3,10,high,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
19,2858990,18,female,6,19,29,1,10,high,18,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
20,2858990,18,female,6,20,12,7,6,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
21,2858990,18,female,6,21,22,3,4,high,10,safe,2,1,3,7,8,1,3,7,9,3.166666667,2.944444444
22,2858990,18,female,6,22,30,3,10,high,19,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
23,2858990,18,female,6,23,9,1,6,high,6,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
24,2858990,18,female,6,24,32,7,10,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
25,2858990,18,female,6,25,2,3,2,high,7,safe,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
26,2858990,18,female,6,26,19,5,2,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
27,2858990,18,female,6,27,27,5,6,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
28,2858990,18,female,6,28,11,5,6,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
29,2858990,18,female,6,29,20,7,2,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
30,2858990,18,female,6,30,3,5,2,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
31,2858990,18,female,6,31,28,7,6,low,0,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
32,2858990,18,female,6,32,10,3,6,high,10,risky,0,1,3,7,8,1,3,7,9,3.166666667,2.944444444
33,2859012,20,male,6,1,21,1,4,low,0,safe,99,3,4,3,8,1,2,3,9,3.666666667,3.833333333
34,2859012,20,male,6,2,5,1,4,high,39,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
35,2859012,20,male,6,3,10,3,6,high,38,safe,99,3,4,3,8,1,2,3,9,3.666666667,3.833333333
36,2859012,20,male,6,4,17,1,2,high,22,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
37,2859012,20,male,6,5,30,3,10,high,55,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
38,2859012,20,male,6,6,14,3,10,high,63,safe,74,3,4,3,8,1,2,3,9,3.666666667,3.833333333
39,2859012,20,male,6,7,31,5,10,high,66,safe,83,3,4,3,8,1,2,3,9,3.666666667,3.833333333
40,2859012,20,male,6,8,7,5,4,high,69,safe,46,3,4,3,8,1,2,3,9,3.666666667,3.833333333
41,2859012,20,male,6,9,22,3,4,high,19,safe,76,3,4,3,8,1,2,3,9,3.666666667,3.833333333
42,2859012,20,male,6,10,1,1,2,low,0,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
43,2859012,20,male,6,11,9,1,6,high,19,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
44,2859012,20,male,6,12,24,7,4,high,73,risky,61,3,4,3,8,1,2,3,9,3.666666667,3.833333333
45,2859012,20,male,6,13,3,5,2,high,38,safe,73,3,4,3,8,1,2,3,9,3.666666667,3.833333333
46,2859012,20,male,6,14,28,7,6,high,71,risky,99,3,4,3,8,1,2,3,9,3.666666667,3.833333333
47,2859012,20,male,6,15,23,5,4,high,34,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
48,2859012,20,male,6,16,19,5,2,high,33,safe,70,3,4,3,8,1,2,3,9,3.666666667,3.833333333
49,2859012,20,male,6,17,11,5,6,high,42,safe,72,3,4,3,8,1,2,3,9,3.666666667,3.833333333
50,2859012,20,male,6,18,15,5,10,high,40,safe,32,3,4,3,8,1,2,3,9,3.666666667,3.833333333
51,2859012,20,male,6,19,12,7,6,low,0,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
52,2859012,20,male,6,20,26,3,6,high,17,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
53,2859012,20,male,6,21,2,3,2,high,16,risky,86,3,4,3,8,1,2,3,9,3.666666667,3.833333333
54,2859012,20,male,6,22,20,7,2,high,56,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
55,2859012,20,male,6,23,8,7,4,high,65,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
56,2859012,20,male,6,24,32,7,10,high,61,safe,69,3,4,3,8,1,2,3,9,3.666666667,3.833333333
57,2859012,20,male,6,25,25,1,6,high,10,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
58,2859012,20,male,6,26,29,1,10,high,12,safe,67,3,4,3,8,1,2,3,9,3.666666667,3.833333333
59,2859012,20,male,6,27,27,5,6,high,34,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
60,2859012,20,male,6,28,18,3,2,low,0,risky,80,3,4,3,8,1,2,3,9,3.666666667,3.833333333
61,2859012,20,male,6,29,6,3,4,high,32,safe,86,3,4,3,8,1,2,3,9,3.666666667,3.833333333
62,2859012,20,male,6,30,4,7,2,low,0,risky,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
63,2859012,20,male,6,31,13,1,10,high,12,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
64,2859012,20,male,6,32,16,7,10,high,59,safe,100,3,4,3,8,1,2,3,9,3.666666667,3.833333333
65,2859015,18,female,10,1,18,3,2,low,40,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
66,2859015,18,female,10,2,22,3,4,low,38,risky,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
67,2859015,18,female,10,3,32,7,10,low,39,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
68,2859015,18,female,10,4,15,5,10,high,100,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
69,2859015,18,female,10,5,24,7,4,low,28,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
70,2859015,18,female,10,6,26,3,6,high,66,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
71,2859015,18,female,10,7,20,7,2,low,38,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
72,2859015,18,female,10,8,4,7,2,low,28,risky,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
73,2859015,18,female,10,9,2,3,2,low,17,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
74,2859015,18,female,10,10,31,5,10,high,66,risky,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
75,2859015,18,female,10,11,21,1,4,high,54,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
76,2859015,18,female,10,12,30,3,10,high,80,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
77,2859015,18,female,10,13,5,1,4,high,29,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
78,2859015,18,female,10,14,3,5,2,low,15,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
79,2859015,18,female,10,15,28,7,6,low,11,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
80,2859015,18,female,10,16,10,3,6,high,69,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
81,2859015,18,female,10,17,14,3,10,high,88,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
82,2859015,18,female,10,18,6,3,4,high,95,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
83,2859015,18,female,10,19,7,5,4,low,9,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
84,2859015,18,female,10,20,1,1,2,high,51,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
85,2859015,18,female,10,21,9,1,6,high,75,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
86,2859015,18,female,10,22,19,5,2,low,3,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
87,2859015,18,female,10,23,27,5,6,high,88,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
88,2859015,18,female,10,24,29,1,10,high,71,safe,100,3,5,8,10,2,5,7,10,2.722222222,3.833333333
