"","Participant.Private.ID","Age","Gender","needForMoney","blockOrder","randomise_blocks","effortL","rewardL","effortChoice","effortSelfReport","gamblingChoice","happySelfReport","subjEffort1","subjEffort3","subjEffort5","subjEffort7","subjFrust1","subjFrust3","subjFrust5","subjFrust7","nfc","ind","mes"
"1","3643198",18,"male",8,1,24,"7","4","low",12,"safe",46,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"2","3643198",18,"male",8,2,30,"3","10","high",73,"safe",92,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"3","3643198",18,"male",8,3,21,"1","4","high",46,"safe",55,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"4","3643198",18,"male",8,4,13,"1","10","high",60,"safe",83,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"5","3643198",18,"male",8,5,1,"1","2","high",38,"safe",57,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"6","3643198",18,"male",8,6,18,"3","2","low",24,"safe",41,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"7","3643198",18,"male",8,7,11,"5","6","high",100,"risky",67,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"8","3643198",18,"male",8,8,2,"3","2","low",0,"safe",36,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"9","3643198",18,"male",8,9,16,"7","10","high",100,"risky",82,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"10","3643198",18,"male",8,10,4,"7","2","low",22,"safe",30,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"11","3643198",18,"male",8,11,7,"5","4","high",89,"risky",59,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"12","3643198",18,"male",8,12,20,"7","2","low",13,"risky",56,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"13","3643198",18,"male",8,13,9,"1","6","high",80,"safe",57,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"14","3643198",18,"male",8,14,23,"5","4","low",47,"safe",19,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"15","3643198",18,"male",8,15,22,"3","4","low",7,"safe",53,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"16","3643198",18,"male",8,16,17,"1","2","high",29,"safe",30,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"17","3643198",18,"male",8,17,19,"5","2","low",15,"safe",31,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"18","3643198",18,"male",8,18,6,"3","4","high",83,"safe",53,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"19","3643198",18,"male",8,19,10,"3","6","high",91,"safe",61,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"20","3643198",18,"male",8,20,27,"5","6","high",0,"safe",80,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"21","3643198",18,"male",8,21,8,"7","4","low",0,"safe",30,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"22","3643198",18,"male",8,22,14,"3","10","high",89,"safe",85,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"23","3643198",18,"male",8,23,12,"7","6","high",70,"safe",61,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"24","3643198",18,"male",8,24,5,"1","4","high",71,"safe",35,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"25","3643198",18,"male",8,25,15,"5","10","high",83,"safe",68,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"26","3643198",18,"male",8,26,25,"1","6","high",94,"safe",71,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"27","3643198",18,"male",8,27,29,"1","10","high",80,"safe",87,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"28","3643198",18,"male",8,28,3,"5","2","low",38,"safe",42,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"29","3643198",18,"male",8,29,32,"7","10","high",100,"safe",90,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"30","3643198",18,"male",8,30,26,"3","6","high",81,"safe",86,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"31","3643198",18,"male",8,31,31,"5","10","high",99,"safe",86,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"32","3643198",18,"male",8,32,28,"7","6","low",18,"safe",14,2,5,6,9,3,5,7,10,3.44444444444444,2.4,2.44444444444444
"33","3643416",24,"female",10,1,8,"7","4","high",100,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"34","3643416",24,"female",10,2,31,"5","10","high",68,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"35","3643416",24,"female",10,3,16,"7","10","high",100,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"36","3643416",24,"female",10,4,20,"7","2","low",0,"risky",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"37","3643416",24,"female",10,5,24,"7","4","high",100,"safe",70,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"38","3643416",24,"female",10,6,11,"5","6","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"39","3643416",24,"female",10,7,26,"3","6","high",16,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"40","3643416",24,"female",10,8,17,"1","2","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"41","3643416",24,"female",10,9,14,"3","10","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"42","3643416",24,"female",10,10,3,"5","2","high",74,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"43","3643416",24,"female",10,11,1,"1","2","high",1,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"44","3643416",24,"female",10,12,18,"3","2","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"45","3643416",24,"female",10,13,7,"5","4","high",58,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"46","3643416",24,"female",10,14,2,"3","2","high",25,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"47","3643416",24,"female",10,15,22,"3","4","high",9,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"48","3643416",24,"female",10,16,25,"1","6","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"49","3643416",24,"female",10,17,6,"3","4","high",41,"risky",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"50","3643416",24,"female",10,18,5,"1","4","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"51","3643416",24,"female",10,19,32,"7","10","high",100,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"52","3643416",24,"female",10,20,21,"1","4","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"53","3643416",24,"female",10,21,4,"7","2","high",100,"safe",90,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"54","3643416",24,"female",10,22,9,"1","6","high",17,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"55","3643416",24,"female",10,23,15,"5","10","high",58,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"56","3643416",24,"female",10,24,12,"7","6","high",100,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"57","3643416",24,"female",10,25,13,"1","10","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"58","3643416",24,"female",10,26,23,"5","4","high",60,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"59","3643416",24,"female",10,27,10,"3","6","high",75,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"60","3643416",24,"female",10,28,28,"7","6","high",100,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"61","3643416",24,"female",10,29,29,"1","10","high",0,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"62","3643416",24,"female",10,30,27,"5","6","high",66,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"63","3643416",24,"female",10,31,19,"5","2","high",70,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"64","3643416",24,"female",10,32,30,"3","10","high",73,"safe",100,1,3,3,10,1,2,2,10,4.5,4.2,3.38888888888889
"65","3643435",22,"female",7,1,4,"7","2","high",45,"risky",66,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"66","3643435",22,"female",7,2,29,"1","10","high",32,"safe",77,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"67","3643435",22,"female",7,3,6,"3","4","high",30,"safe",69,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"68","3643435",22,"female",7,4,10,"3","6","high",27,"risky",72,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"69","3643435",22,"female",7,5,15,"5","10","high",33,"risky",83,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"70","3643435",22,"female",7,6,17,"1","2","high",33,"safe",72,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"71","3643435",22,"female",7,7,2,"3","2","high",38,"safe",74,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"72","3643435",22,"female",7,8,28,"7","6","high",29,"safe",86,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"73","3643435",22,"female",7,9,9,"1","6","high",18,"safe",80,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"74","3643435",22,"female",7,10,13,"1","10","high",35,"safe",92,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"75","3643435",22,"female",7,11,21,"1","4","high",26,"safe",66,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"76","3643435",22,"female",7,12,27,"5","6","high",30,"safe",80,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"77","3643435",22,"female",7,13,8,"7","4","high",61,"risky",77,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"78","3643435",22,"female",7,14,25,"1","6","high",34,"safe",55,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"79","3643435",22,"female",7,15,24,"7","4","high",56,"risky",69,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"80","3643435",22,"female",7,16,18,"3","2","high",38,"risky",41,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"81","3643435",22,"female",7,17,12,"7","6","high",58,"safe",66,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"82","3643435",22,"female",7,18,30,"3","10","high",56,"safe",88,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"83","3643435",22,"female",7,19,31,"5","10","high",59,"safe",78,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"84","3643435",22,"female",7,20,1,"1","2","high",32,"risky",65,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"85","3643435",22,"female",7,21,5,"1","4","high",44,"safe",66,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"86","3643435",22,"female",7,22,7,"5","4","high",43,"safe",68,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"87","3643435",22,"female",7,23,20,"7","2","low",28,"risky",67,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"88","3643435",22,"female",7,24,19,"5","2","high",39,"safe",59,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"89","3643435",22,"female",7,25,32,"7","10","high",54,"safe",85,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"90","3643435",22,"female",7,26,14,"3","10","high",29,"safe",85,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"91","3643435",22,"female",7,27,11,"5","6","high",81,"safe",75,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"92","3643435",22,"female",7,28,22,"3","4","high",35,"safe",68,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"93","3643435",22,"female",7,29,16,"7","10","high",36,"safe",71,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"94","3643435",22,"female",7,30,26,"3","6","high",35,"safe",73,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"95","3643435",22,"female",7,31,23,"5","4","high",38,"risky",71,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"96","3643435",22,"female",7,32,3,"5","2","high",56,"risky",64,1,2,2,5,1,2,2,2,2.88888888888889,2.3,3.44444444444444
"97","3643484",20,"male",8,1,13,"1","10","high",22,"risky",89,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"98","3643484",20,"male",8,2,31,"5","10","high",91,"risky",72,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"99","3643484",20,"male",8,3,3,"5","2","high",97,"safe",2,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"100","3643484",20,"male",8,4,23,"5","4","low",0,"risky",3,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"101","3643484",20,"male",8,5,24,"7","4","high",100,"risky",25,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"102","3643484",20,"male",8,6,26,"3","6","high",44,"risky",75,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"103","3643484",20,"male",8,7,15,"5","10","high",93,"risky",99,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"104","3643484",20,"male",8,8,6,"3","4","high",68,"risky",36,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"105","3643484",20,"male",8,9,17,"1","2","high",5,"risky",10,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"106","3643484",20,"male",8,10,5,"1","4","high",14,"risky",38,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"107","3643484",20,"male",8,11,16,"7","10","high",100,"risky",21,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"108","3643484",20,"male",8,12,21,"1","4","high",34,"risky",96,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"109","3643484",20,"male",8,13,29,"1","10","high",6,"risky",99,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"110","3643484",20,"male",8,14,22,"3","4","high",21,"risky",29,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"111","3643484",20,"male",8,15,32,"7","10","high",81,"risky",91,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"112","3643484",20,"male",8,16,25,"1","6","high",8,"risky",82,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"113","3643484",20,"male",8,17,10,"3","6","high",60,"safe",22,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
"114","3643484",20,"male",8,18,1,"1","2","high",7,"risky",8,2,4,7,9,1,2,4,7,3.05555555555556,3.1,3.27777777777778
